Authors,Title
"hafiz, k. d., rahman, k. a., ibna seraj, p. m., & begum, m.","""textbook and teaching materials evaluation: a top-down understanding."""
"fathor rasyid, prodhan mahbub ibna seraj, abd. ghofur, andi asrifan","""students' perception toward teaching strategies of native and nonnative english-speaking teachers: a case study in indonesia"""
tasnova jerin ulfat,N/A
"risala ahmed, shihab saqib","""impact of social media method for retake students of english for academic purpose courses"""
dr. sabuktagin rahman,N/A
dr. sabuktagin rahman,N/A
syeda afroza zerin & tahsina tahmin tarin,N/A
imtiaz ahmed sajal & syeda afroza zerin,N/A
"mohammad faisal, dr. arifatul kibria",N/A
mohammad towhidul islam and sadman rizwan apurbo,"""revisiting the patent regime of bangladesh: compatibility with trips and international best practices"""
dr. mohammad abu taher,N/A
dr. mohammad abu taher,N/A
kazi dawood hafiz; kh. atikur rahman; prodhan mahbub mahbub ibna seraj; dmariam begum,"""textbook and teaching materials evaluation: a top-down understanding"""
md. kamrul hasan; abdul-hafeed fakih ;prodhan mahbub ibna seraj; badruddin kaddas,"""examining the predictive role of derivatives of morphological knowledge to reading comprehension"""
dr. kh. atikur rahman; dr. md. kamrul hasan; prodhan mahbub ibna seraj; dr. mariam begum,"""maritime education and sustainable development: prospects of bangladesh"""
"md. kamrul hasan, prodhan mahbub ibna seraj, abdul-hafeed fakih, blanka klimova","""conceptions and viewpoints of english as a foreign language undergraduate students towards flipped instructed classroom"""
"prodhan mahbub ibna seraj, roti chakraborty, tareque mehdi, m. moninoor roshid","""a systematic review on pedagogical trends and assessment practices during the covid-19 pandemic: teachers' and students' perspectives"""
"shah bukhari, s.k.u., said, h., gul, r. and ibna seraj, p.m","""barriers to sustainability at pakistan public universities and the way forward"""
julianty julianty; andi asrifan;prodhan mahbub ibna seraj;amitabh vikram dwivedi; muhammad mujtaba asad,"""implementing language learning strategies for writing descriptive text in an open area at a senior high school"""
"muthmainnah, prodhan mahbub ibna seraj, ibrahim oteir","""playing with ai to investigate human-computer interaction technology and improving critical thinking skills to pursue 21st century age"""
"prodhan mahbub ibna seraj, abm rahmatullah","""systematic literature review on the use of applications of smartphones for teaching english in efl contexts"""
"md. kamrul hasan, abdul-hafeed fakih, prodhan mahbub ibna seraj,hasmirati","""the effect of technology-assisted language programme on vocabulary learning among efl students at the tertiary level"""
"muthmainnah muthmainnah, vargheese k j, prodhan mahbub ibna seraj, besse darmawati, andi asrifan","""digital mangatoon to born out new peace in english classroom"""
dr. mohammad abu taher,N/A
dr. mohammad abu taher,N/A
md maksudur rahman,"""addressing the necessity for a 'witness protection law' to eliminate backlogs in criminal cases in bangladesh"""
"farhana afroz, bm sajjad hossain, mohammad abu taher, jubayer ahamed","""establishing democracy in bangladesh: evaluating the role of media"""
"dr. kazi tanvir mahmud, asif pervez, sadman sahir ahmed","""microcredit and the household food security of the fish farmers: evidence from rural bangladesh"""
shejuti haque; dr. kazi tanvir mahmud,"""impact of monthly repayment system on the household income and food expenditure of the rural women borrowers: evidence from bangladesh"""
"korishi, rushni, biswas, buddhadev & rahman, mizanur","""citizen's charter in public services: development, principles and practice"""
dr. md. asif kamal,"""learners’ attitude towards the adaptation of clil in undergraduate english literature courses in a private university context in bangladesh"""
dr. syeda afroza zerin and lutfunnessa sagor,N/A
dr. sabuktagin rahman,N/A
tasnova jerin ulfat,N/A
tasnova jerin ulfat,N/A
"julianty, j., asrifan, a. ., ibna seraj, p. m., vikram dwivedi, a., & asad, m. m.","""implementing language learning strategies for writing descriptive text in an open area at a senior high school"""
"muthmainnah, prodhan mahbub ibna seraj, ibrahim oteir","""playing with ai to investigate human-computer interaction technology and improving critical thinking skills to pursue 21 st century age"""
"prodhan mahbub ibna seraj, abm rahmatullah","""systematic literature review on the use of applications of smartphones for teaching english in efl contexts"""
"hasan, m. k., fakih, a. h., ibna seraj, p. m., & hasmirati","""the effect of technology-assisted language programme on vocabulary learning among efl students at the tertiary level"""
dr. prodhan  mahbub ibna seraj,"""the correlation and prediction of depth of vocabulary knowledge to academic reading comprehension of efl tertiary learners"""
risala ahmed,"""rise of humanistic education: are learners ‘humans’ or simply ‘machines’?"""
"md. kamrul hasan, prodhan mahbub ibna seraj, abdul-hafeed fakih, blanka klimova","""conceptions and viewpoints of english as a foreign language undergraduate students towards flipped instructed classroom"""
"muthmainnah muthmainnah, vargheese k j, prodhan mahbub ibna seraj, besse darmawati, andi asrifan","""digital mangatoon to born out new peace in english classroom"""
"prodhan mahbub ibna seraj, roti chakraborty, tareque mehdi, m. moninoor roshid","""a systematic review on pedagogical trends and assessment practices during the covid-19 pandemic: teachers’ and students’ perspectives"""
"hasan, k., ibna seraj, p. m., & shehzad, m.w., m.","""examining the predictive role of derivatives of morphological knowledge to reading comprehension"""
"bm sajjad hossain, rushni korishi, kamruzzaman molla","""status of sex education at elementary schools in bangladesh: a comparative study among few schools in dhaka"""
"mostofa mahmud hasan, bm sajjad hossain, md abu sayem, mahnaz afsar","""factors of manpower export in saudi arabia and its contribution to the economy of bangladesh: an empirical analysis"""
"mostofa mahmud hasan1, bm sajjad hossain","""diffusion and success factors of the light vehicle market  in bangladesh"""
dr. b m sajjad hossain,"""diminishing of social disorders through financial inclusion: evidence from india"""
prodhan mahbub ibna seraj,N/A
dr. ashrafuzzaman khan,N/A
"sayeedur rahman, touhida easmin, paren c barman",N/A
"*robaet ferdous, **mst. nasrin akter",N/A
"sayeedur rahman, paren c barman, touhida easmin",N/A
ferdousi  begum,"""necessity of inserting climate change clause in the  transboundary water agreements of south asia"""
ferdousi  begum,N/A
"2)	b m sajjad hossain, nasrin akhter, md. taufiqul islam, & md. abul hasam",N/A
afroja sultana,"""1947, 1971: history, facts and fictions"""
dr. b m sajjad hossain,"""determining the impact of economic factors to the gross domestic product in bangladesh"""
dr. b m sajjad hossain,"""status and trends in financial inclusion and financial stability: a comparative analysis of saarc countries"""
shibaji mridha,N/A
shibaji mridha,N/A
"f muhammad, mi haque, abma chowdhury, dr. arifatul kibria",N/A
dr sakib bin amin,N/A
dr. shaheen akter,N/A
dr. shaheen akter,"""determinants of the farm-level stocks of rice and effectiveness of rice procurement program in bangladesh"""
shaira matin and md. mohai menul haque,N/A
"shaira matin, farhana rafiq & md. mohai menul haque",N/A
"rahman, k. a., ibna seraj, p. m., hasan, m. k., namaziandost, e., & tilwani, s. a.","""washback of assessment on english teaching-learning practice at secondary schools."""
dr. prodhan  mahbub ibna seraj,"""exploring efl teachers' perception on readiness to use smartphones forteaching oral english communication skills at tertiary level"""
dr. muhammad fazle ramzan khan,N/A
dr. mohammad zahidul islam khan,"""covid-19 lived experience: a peacekeeper’s account"""
"istihak rayhan, khaleda akter","""prevalence and associated factors of intimate partner violence (ipv)  against women in bangladesh amid covid-19 pandemic"""
riasat  azmi,N/A
dr. faria   sultana,N/A
dr. faria   sultana,N/A
dr. faria   sultana,N/A
dr. faria   sultana,N/A
dr. mohammad abu taher,N/A
dr. mohammad abu taher,N/A
"mehedi hasan, a b m shafiqul islam, & israt jahan shuchi","""using mobile-based formative assessment in esl/efl speaking"""
dr. muhammad fazle ramzan khan,N/A
rezwanul  haque,N/A
rezwanul  haque,N/A
mohammed foysal chowdhury,N/A
shibaji  mridha,N/A
farhat tasannum farah,N/A
md. kamrul hasan; prodhan mahbub ibna seraj; muhammad waleed shehzad,"""the correlation and prediction of depth of vocabulary knowledge to academic reading comprehension of efl tertiary learners."""
"prodhan mahbub ibna seraj , hadina habil , md. kamul hasan  & fatema sharmin","""exploring efl teachers' perception on readiness to use smartphones for teaching oral english communication skills at tertiary level"""
"sameer m. sayyd, zainal abidin zainuddin and prodhan m. seraj","""a scientific overview of the impact of covid-19 pandemic on sports affairs : a systematic review."""
"kh. atikur rahman, md. kamrul hasan, ehsan namaziandost & prodhan mahbub ibna seraj","""implementing a formative assessment model at the secondary schools : attitudes and challenges."""
"kh. atikur rahman, prodhan mahbub ibna seraj, md. kamrul hasan, ehsan namaziandost & shouket ahmad tilwani","""washback of assessment on english teaching-learning practice at secondary schools"""
"md. kamrul hasan, prodhan  mahbub ibna seraj, kh. atikur rahman","""the prediction of the responsible determinants to institutional attributes for efl student dropout at the tertiary level"""
prodhan mahbub mahbub ibna seraj; blanka klimova;hadina habil,"""use of mobile phones in teaching english in bangladesh : a systematic review ( 2010 – 2020 )"""
fatemeh ebrahimiehsan nehsan namaziandost; ziafarmeisam ziafar; prodhan mahbub ibna seraj,"""the effect of teaching formulaic expressions through contrastive lexical approach on iranian pre ‑ intermediate efl learners ’ writing skill."""
prodhan mahbub ibna seraj; hadina habil,"""a systematic overview of issues for developing efl learners ’ oral english communication skills."""
prodhan mahbub ibna seraj; hadina habil; md. kamrul hasan,"""investigating the problems of teaching oral english communication skills in an efl context at the tertiary level"""
mohammad rukib uddin; kh  atikur rahman; prodhan mahbub ibna seraj; kazi dawood hafiz,"""feedback to student-works : lifeline of learning"""
muhammad rashid hafeez; shouket tilwani; muhammad asif; prodhan mahbubibna seraj,"""challenging so-called fake media’s power abuse with social media verbal abuse: analysis of twitter interactions"""
farhat tasannum farah,"""dissociative reality: a post-traumatic defense mechanism on toni morrison’s portrayal of pecola in ""the bluest eye"""""
raihan kibria,N/A
md. khalid rahman,N/A
ferdousi  begum,"""transboundary water agreements of south asia: does the principle of  equitable and reasonable utilization of water exist"""
prodhan mahbub mahbub ibna seraj; hadina habil; md. kamrul hasan,"""investigating efl learners ’ readiness of using smartphone and problems for learning oral english communication skills at tertiary level in an efl context."""
md. kamrul; prodhan mahbub ibna seraj; mekhala chakma,"""vocabulary depth knowledge and academic reading comprehension of business efl undergraduates : a correlational design study. , 8(4), ."""
"prodhan mahbub ibna seraj, md. kamrul hasan, hadina habiil","""english teachers’ views on the barriers of implementing e-learning during the covid-19 pandemic at the private universities in bangladesh. , 1033–1041."""
shibaji  mridha,N/A
rezwanul  haque,N/A
mohammed foysal chowdhury,N/A
"iffat tasnim haque, youji kohda","""understanding the impact of social determinants of health in street food safety: a qualitative study in bangladesh."""
"mehedi hasan1, a. b. m. shafiqul islam","""the effectiveness of mobile assisted languagelearning (mall) on esl listening skill"""
"mehedi hasan, a b m shafiqul islam and israt jahan shuchi","""translanguaging as an instructional strategy in adult esl classrooms"""
dr. mohammad abu taher,N/A
mohammad zahidul islam khan,"""is voting patterns at the united nations general assembly a useful way to understand a country’s policy inclinations: bangladesh’s voting records at the united nations general assembly"""""
dr. mohammad zahidul islam khan and prof dr. dominik zaum,"""a structural explanation of state fragility: theorizing the causal pathways"""
dr. muhammad fazle ramzan khan,N/A
dr. shaheen akter,N/A
touhida easmin,N/A
dr. mohammad abu taher,N/A
dr. arifatul kibria,N/A
dr. b m sajjad hossain,N/A
shibaji mridha,N/A
tasnova jerin ulfat,N/A
tasnova jerin ulfat,N/A
dr. rowshon ara romke,N/A
"masum, a. latif & romke, r. a.,",N/A
mst. nasrin akter,N/A
mehrin karim,N/A
dr. mohammad abu taher,N/A
mohammad zahidul islam khan,"""pathways to justice for ‘atrocity crimes’ in myanmar: is there political will?"""
shahjahan ali,N/A
shahjahan ali,N/A
shaira matin and md. monwarul islam,"""cyber security and approaches of institutions: a study on private institutions of banani and dhanmondi thana area, dhaka"""
shibaji  mridha,N/A
"mohammad mosiur rahman, md shaiful islam, abdul karim, takad ahmed chowdhury, muhammad mushfiqur rahman, prodhan mahbub ibna seraj & manjet kaur mehar singh","""english language teaching in bangladesh today: issues, outcomes and implications."""
risala ahmed,N/A
shihab   saqib,N/A
shahjahan ali,N/A
dr. md. nasir uddin,N/A
shibaji  mridha,N/A
shibaji  mridha,N/A
afroja sultana,N/A
afroja sultana,N/A
md. khalid rahman,N/A
dr. buddha dev  biswas,N/A
dr. md. nasir uddin,N/A
mohammed foysal chowdhury,N/A
dr. md. nasir uddin,N/A
farhat tasannum farah,N/A
dr. md. asif kamal,N/A
farhana  afroz,N/A
dr. mohammad mizanul haque kazal,N/A
dr. buddha dev  biswas,N/A
shaila ahmed,N/A
mohammed foysal chowdhury,N/A
zarin  tasnim,N/A
irtisam  ahmed,N/A
dr. buddha dev  biswas,N/A
dr. a. b. m.  rahmatullah,N/A
dr. a. b. m.  rahmatullah,N/A
md. khalid rahman,N/A
md. khalid rahman,N/A
dr. faria   sultana,N/A
dr. faria   sultana,N/A
dr. faria   sultana,N/A
dr. faria   sultana,N/A
dr. faria   sultana,N/A
dr. faria   sultana,N/A
shibaji  mridha,N/A
irtisam  ahmed,N/A
ferdousi  begum,"""analyzing hindu women’s right to property in bangladesh: absolute  interest versus limited interest"""
ferdousi  begum,N/A
"iffat tasnim haque, youji kohda","""applying knowledge management in public health intervention: a street food safety perspective"""
dr. mohammad abu taher,N/A
"md monjur hasan, bm sajjad hossain, md jobaer alam, km azam chowdhury, ahmad al karim, nuruddin md khaled chowdhury","""the prospects of blue economy to promote bangladesh into a middle-income country"""
abdul karim; abdul r. mohamed; shaik a. m. m. ismail; faheem h. shahed; mohammad mosiur rahman; md. hamidul haque,"""error analysis in efl writing classroom"""
"rowshon ara romke, md ashfak sayed",N/A
dr. arifatul kibria,N/A
dr. b m sajjad hossain,"""remittance & development: a sensitivity analysis of bangladesh"""
"iffat haque, youji kohda",N/A
"akter, s. & rahman, s.",N/A
dr. muhammad fazle ramzan khan,N/A
dr. muhammad fazle ramzan khan,N/A
mahbub alom; prodhan mahbub ibna seraj,N/A
shohel  rana,N/A
shohel  rana,N/A
shohel  rana,N/A
shohel  rana,N/A
dr. md. taufiqul islam,N/A
kuntala shabnam parama,N/A
shibaji  mridha,N/A
md. hamidul haque,N/A
md. khalid rahman,N/A
dr. a. b. m.  rahmatullah,N/A
mohammed foysal chowdhury,N/A
sk. md. habibullah,N/A
mst morium  khatun,N/A
theotonius  gomes,N/A
ashika bari jotee,N/A
farhat tasannum farah,N/A
dr. mohammad mizanul haque kazal,N/A
dr. mohammad mizanul haque kazal,N/A
dr. mohammad mizanul haque kazal,N/A
dr. md. nurul amin,N/A
dr. md. asif kamal,N/A
dr. md. asif kamal,N/A
dr. md. asif kamal,N/A
dr. md. asif kamal,N/A
farhat tasannum farah,N/A
dr. mohammad mizanul haque kazal,N/A
dr. mohammad mizanul haque kazal,N/A
dr. mohammad mizanul haque kazal,N/A
dr. mohammad mizanul haque kazal,N/A
dr. mohammad mizanul haque kazal,N/A
dr. mohammad mizanul haque kazal,N/A
jannatul farhana,N/A
mst morium  khatun,N/A
zakir  abu mohd syed,N/A
dr. faria   sultana,N/A
mehedi kayser pabitra,N/A
mehedi kayser pabitra,N/A
md. hamidul haque,N/A
dr. faria   sultana,N/A
prof. dr. taslima monsoor,N/A
dr. md. taufiqul islam,N/A
dr. shamsul arifeen khan,N/A
dr. shamsul arifeen khan,N/A
prodhan mahbub ibna seraj,N/A
dr. prodhan  mahbub ibna seraj,N/A
mohammad zahidul islam khan,"""philosophical dualism: towards a nuance understanding of the concept of terrorism"""
mohammad zahidul islam khan,"""beyond greed or grievance theory – what explains civil war?"""
dr. muhammad fazle ramzan khan,N/A
"fu, x. & akter, s.",N/A
dr. b m sajjad hossain,N/A
dr. b m sajjad hossain,N/A
dr. b m sajjad hossain,N/A
rukhsar raiyan modina,N/A
dr. muhammad fazle ramzan khan,N/A
dr. md. iqbal  kabir,N/A
dr. syeda afroza zerin,N/A
dr. shamsul arifeen khan,N/A
dr. shamsul arifeen khan,N/A
dr. shamsul arifeen khan,N/A
dr. shamsul arifeen khan,N/A
dr. md. asif kamal,N/A
dr. md. taufiqul islam,N/A
prof. dr. taslima monsoor,N/A
prof. dr. taslima monsoor,N/A
rubayyat hashmi,N/A
rubayyat hashmi,N/A
muna chaudhury,N/A
mohammed foysal chowdhury,N/A
dr. faria   sultana,N/A
"sharmin shabnam, shaira matin and dr. tazul islam","""self-employment: prospects and challenges"""
dr. tazul  islam,N/A
dr. mohammad mizanul haque kazal,N/A
dr. mohammad mizanul haque kazal,N/A
dr. mohammad mizanul haque kazal,N/A
dr. md. nurul amin,N/A
farhat tasannum farah,N/A
shaila ahmed,N/A
shaira matin,N/A
quazi omar foysal,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
md. firoj al mamun  khan,N/A
md. firoj al mamun  khan,N/A
farhana zaman &  shaira matin,N/A
dr. faheem hasan shahed,N/A
dr. md. taufiqul islam,N/A
shaila ahmed,N/A
farhana rafiq,N/A
rezwanul hasan rana,N/A
dr. md. asif kamal,N/A
farhat tasannum farah,N/A
mir md. fazla rabby,N/A
nasim  firdaus,N/A
hemin  ashrafi,N/A
rizwana mahbub  liana,N/A
prof. dr. taslima monsoor,N/A
md. khalid rahman,N/A
md. khalid rahman,N/A
dr. md. asif kamal,N/A
jannatul farhana,N/A
dr. pradip sen gupta,N/A
theotonius  gomes,N/A
dr. syeda afroza zerin,N/A
dr. syeda afroza zerin,N/A
mohammad zahidul islam khan,"""do the weak and collapsed states pose a challenge to the realist worldview?"""
dr. mohammad zahidul islam khan,"""will the rise of china remain peaceful?"""
dr. ashrafuzzaman khan,N/A
rahman s. &  akter s.,N/A
"syeda afroza zerin,md. zahid chowdhury johnny",N/A
rowshon ara romke,N/A
dr. rowshon ara romke,N/A
dr. arifatul  kibria,N/A
rowshon ara romke,N/A
"romke, r. a",N/A
dr. ashrafuzzaman khan,N/A
dr. syeda afroza zerin,N/A
dr. pradip sen gupta,N/A
dr. md. asif kamal,N/A
rezwanul hasan rana,N/A
rezwanul hasan rana,N/A
dr. faheem hasan shahed,N/A
dr. faheem hasan shahed,N/A
mohammad niaz majumdar,N/A
dr. mohammad mizanul haque kazal,N/A
dr. tazul  islam,N/A
amal  majumder,N/A
dr. a. b. m.  rahmatullah,N/A
md. firoj al mamun  khan,N/A
dr. md. taufiqul islam,N/A
dr. md. taufiqul islam,N/A
rizwana mahbub  liana,N/A
syed afroz keramat,N/A
dr. pradip sen gupta,N/A
dr. shamsul arifeen khan,N/A
farzana   saleh,N/A
prodhan mahbub ibna seraj,N/A
dr. muhammad fazle ramzan khan,N/A
dr. ashrafuzzaman khan,N/A
dr. ashrafuzzaman khan,N/A
"romke, r. a",N/A
dr. arifatul kibria,N/A
"dr. arifatul kibria, qinguangqiang",N/A
dr. b m sajjad hossain,"""dimensions of poverty among the lower income people in dhaka city"""
dr. ashrafuzzaman khan,N/A
syeda afroza zerin,N/A
prodhan mahbub ibna seraj; mohammad abdullah al mamun,N/A
dr. shamsul arifeen khan,N/A
dr. pradip sen gupta,N/A
hemin  ashrafi,N/A
farhana rafiq,N/A
dr. faheem hasan shahed,N/A
dr. a. n. neaz ahmad,N/A
dr. md. taufiqul islam,N/A
dr. mohammad mizanul haque kazal,N/A
akim m.  rahman,N/A
tania  rahman,N/A
tania  rahman,N/A
dr. tazul  islam,N/A
rezwanul  haque,N/A
prof. dr. taslima monsoor,N/A
"romke, r. ara, jalal & shafiqul","""health belief model and healer choice in a medically pluralistic society: a study on urban youths"""
dr. ashrafuzzaman khan,N/A
dr. arifatul kibria,N/A
dr. syeda afroza zerin,N/A
dr. syeda afroza zerin,N/A
dr. shamsul arifeen khan,N/A
dr. buddha dev  biswas,N/A
dr. tazul  islam,N/A
dr. tazul  islam,N/A
tania  rahman,N/A
dr. md. taufiqul islam,N/A
akim m.  rahman,N/A
md. shawkat  ali,N/A
dr. a. b. m.  rahmatullah,N/A
dr. buddha dev  biswas,N/A
a.k. monaw-war uddin ahmad,N/A
dr. a. b. m.  rahmatullah,N/A
dr. tazul  islam,N/A
dr. shamsul arifeen khan,N/A
dr. syeda afroza zerin,N/A
mohammad zahidul islam khan,"""tracing private jack lovelace – the american at shamshernager in 1945"""
dr. muhammad fazle ramzan khan,N/A
dr. a. b. m.  rahmatullah,N/A
dr. md. taufiqul islam,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
dr. md. taufiqul islam,N/A
dr. a. b. m.  rahmatullah,N/A
kaspia sultana,N/A
md. shawkat  ali,N/A
a.k. monaw-war uddin ahmad,N/A
mohammad zahidul islam khan,"""fungibility of military power and imperatives for small nations"""
mohammad zahidul islam khan,"""is clausewitz relevant in today's world?"""
mohammad zahidul islam khan,N/A
borendra lal tripura,N/A
dr. tazul  islam,N/A
md. shawkat  ali,N/A
dr. a. n. neaz ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
dr. md. taufiqul islam,N/A
dr. md. taufiqul islam,N/A
dr. a. b. m.  rahmatullah,N/A
dr. md. taufiqul islam,N/A
dr. a. n. neaz ahmad,N/A
kaspia sultana,N/A
md. shawkat  ali,N/A
dr. tazul  islam,N/A
dr. pradip sen gupta,N/A
sadia jabeen rahman,N/A
prof. dr. taslima monsoor,N/A
dr. mohammad zahidul islam khan,N/A
prof. dr. taslima monsoor,N/A
akim m.  rahman,N/A
borendra lal tripura,N/A
dr. md. taufiqul islam,N/A
akim m.  rahman,N/A
dr. tazul  islam,N/A
akim m.  rahman,N/A
akim m.  rahman,N/A
akim m.  rahman,N/A
md. shawkat  ali,N/A
dr. a. n. neaz ahmad,N/A
dr. a. n. neaz ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
akim m.  rahman,N/A
a.k. monaw-war uddin ahmad,N/A
dr. a. n. neaz ahmad,N/A
dr. a. n. neaz ahmad,N/A
dr. a. n. neaz ahmad,N/A
dr. a. n. neaz ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
dr. a. n. neaz ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
prof. khurshida  khanom,N/A
prof. khurshida  khanom,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
a.k. monaw-war uddin ahmad,N/A
"rahman, d., sakib, m. n., modina, r. r., & siddique, s. a.",N/A
"1. mst. nasrin akter, 2. prof. dr. mofizur rahman",N/A
b m sajjad hossain & tanzil tamanna,N/A
dr mohammad zahidul islam khan,"""rise of the global south: implications for the global order"""
md. asif kamal,N/A
touhida easmin,N/A
tanzil  tamanna,N/A
rukhsar raiyan modina,N/A
tasnuva  anika,N/A
risala ahmed,N/A
risala ahmed,N/A
priyanka akhter,"""2nd tesol bd international conference"""
dr. rowshon ara romke,"""international conference"""
akibur rahman khan,"""2nd tesol bd international conference"""
md. asif kamal,N/A
"tasneem shereen khan, tasnia tarannum, risala ahmed, md. asif kamal",N/A
md. asif kamal,N/A
syeda afroza zerin,N/A
dr. mohammad zahidul islam khan,"""u.s. and taiwan partnership amidst geopolitical competition"""
"tasneem shereen khan, tasnia tarannum , risala ahmed , asif kamal",N/A
quazi omar foysal,"""16th biennial meeting of the international association of genocide scholars"""
ferdousi begum,N/A
ferdousi begum,N/A
ferdousi begum,N/A
dr. arifatul kibria et al,N/A
rehnuma  ferdous,N/A
md. khalid rahman,"""recording testimony of the rohingya victims to witness the horror of persecution and prospects of voluntary repatriation: an analysis from the film making process"""
tasnuva  anika,"""international conference on technology, business and justice towards smart bangladesh"""
rukhsar raiyan modina,N/A
angur nahar monty,"""global investigative journalism conference 2023"""
dr. ashrafuzzaman khan,N/A
shahrina afrin siddique,N/A
iftekhar mahmud,N/A
shibaji  mridha,N/A
farhana rafiq,N/A
rukhsar raiyan modina,N/A
risala ahmed,N/A
risala ahmed,N/A
risala ahmed,N/A
shaila ahmed,"""apqn academic conference and annual general meeting 2023"""
akibur rahman khan,"""discover english 2023"""
akibur rahman khan,"""national symposium for teachers and students of english"""
priyanka akhter,"""discover english 2023"""
priyanka akhter,"""national symposium for teachers and students of english"""
ferdousi begum,N/A
ferdousi begum,N/A
md asif kamal,N/A
md asif kamal,N/A
dr wasif m alam,N/A
dr. mohammad zahidul islam khan,"""changing nature of conflict: fighting hybrid war in the 21st century"""
mohammad zahidul islam khan,N/A
mohammad zahidul islam khan,"""technology enhanced learning & teaching"""
mohammad zahidul islam khan,"""bsmraau in national & global context” at the faculty development & training sessions held on 09 jan -22 jan 2022 at bsmraau, dhaka campus."""
dr. kazi tanvir mahmud ; shejuti haque,N/A
riasat azmi,N/A
asif kamal,N/A
"siddique, shahrina afrin",N/A
"yesmin, farjana; siddique, shahrina afrin",N/A
"fu, x.,  xu, h., akter, s. and zhao, s",N/A
borendra lal tripura & risala ahmed,"""international conference on sustainable development: opportunities and challenges"""
